ID,"('no_financial_services',)","('other_only',)","('mm_only',)","('mm_plus',)"
2352,0.06004119004690398,0.08128487130490905,0.11635465279003743,0.7423192858581497
8208,0.07211951569255876,0.1033288472817027,0.20532418383942802,0.6192274531863105
2785,0.059997799165754435,0.083280352802722,0.11493902535610767,0.7417828226754158
2967,0.3177332900568884,0.4031511229005181,0.08334882802746083,0.19576675901513257
1697,0.05946215371502066,0.07837669916827937,0.11439823097143281,0.7477629161452672
4794,0.07527322265165266,0.10649730393508335,0.19431059824434627,0.6239188751689178
2675,0.21069929509757349,0.21881615953411818,0.23582063126742095,0.33466391410088736
2989,0.06004119004690398,0.08128487130490905,0.11635465279003743,0.7423192858581497
1634,0.184728414621354,0.41152579358030683,0.11033268733491604,0.29341310446342306
4147,0.071762278429122,0.1038193882031054,0.20629893500501748,0.6181193983627551
8003,0.07979921152156175,0.12717741703283164,0.20542644438883223,0.5875969270567742
1058,0.19335895001472542,0.3840322026403228,0.11548744473940957,0.30712140260554244
8172,0.3368286176272013,0.4273242414283409,0.07004944938877603,0.1657976915556817
2640,0.2764854415330009,0.4793205881983185,0.07252855850988935,0.17166541175879127
1233,0.171234026074081,0.3814638836831188,0.1022728977491398,0.34502919249366054
8632,0.06004119004690398,0.08128487130490905,0.11635465279003743,0.7423192858581497
4548,0.07979921152156175,0.12717741703283164,0.20542644438883223,0.5875969270567742
1032,0.2215443525291102,0.4420912982873583,0.08653826815871832,0.24982608102481305
270,0.060294463952682,0.08251658709474928,0.08316249713337766,0.774026451819191
5516,0.05416444796129469,0.11862431433510473,0.14345801908245698,0.6837532186211437
1289,0.07464790116500376,0.11102504879039919,0.19770976042157562,0.6166172896230213
376,0.16890154266724575,0.4202202074231548,0.10087977605225448,0.30999847385734497
5856,0.06143281746640717,0.0848941405169932,0.12353373391153358,0.730139308105066
2588,0.06027231326841351,0.08285364764838143,0.08313194530330538,0.7737420937798997
1348,0.07464790116500376,0.11102504879039919,0.19770976042157562,0.6166172896230213
8391,0.05632912250635574,0.08377922857823733,0.10853587093035172,0.7513557779850553
2616,0.3663744939876806,0.4211638318996079,0.06162470945672484,0.1508369646559867
5154,0.07131481736369376,0.10217592008949039,0.2141910528846931,0.6123182096621228
869,0.2764854415330009,0.4793205881983185,0.07252855850988935,0.17166541175879127
6625,0.2764854415330009,0.4793205881983185,0.07252855850988935,0.17166541175879127
1423,0.06689365152477098,0.09018329036688302,0.11608506487319835,0.7268379932351476
2276,0.07214195612389121,0.09907790289589126,0.20739041517803636,0.6213897258021812
4252,0.07092709375190306,0.15533580015647003,0.1878549630228801,0.5858821430687469
1311,0.06021344973416565,0.08073102691526891,0.11696615745510128,0.7420893658954641
1534,0.060019962564082575,0.08294171333629854,0.11498148423689723,0.7420568398627215
4059,0.06021344973416565,0.08073102691526891,0.11696615745510128,0.7420893658954641
970,0.2764854415330009,0.4793205881983185,0.07252855850988935,0.17166541175879127
1712,0.07214195612389121,0.09907790289589126,0.20739041517803636,0.6213897258021812
588,0.060019962564082575,0.08294171333629854,0.11498148423689723,0.7420568398627215
252,0.06499959485201326,0.07997952068855253,0.12542401587132485,0.7295968685881093
2204,0.37496855851939487,0.4154514527175442,0.06078887389645473,0.14879111486660612
6038,0.26373853844963824,0.4021254731117501,0.09004340066859852,0.2440925877700133
64,0.05640950679866267,0.07795241687032496,0.09599835122601717,0.7696397251049952
1873,0.06027231326841351,0.08285364764838143,0.08313194530330538,0.7737420937798997
1627,0.37496855851939487,0.4154514527175442,0.06078887389645473,0.14879111486660612
1052,0.05895601063161494,0.08147143590831595,0.11532301147815663,0.7442495419819125
1391,0.10367769425419757,0.1045060106654974,0.10874928469693491,0.68306701038337
4800,0.06079645175557987,0.07931053921781328,0.1032206725298464,0.7566723364967605
3958,0.059932530054884144,0.07999809128310184,0.1214421546565416,0.7386272240054723
4351,0.060019962564082575,0.08294171333629854,0.11498148423689723,0.7420568398627215
241,0.06143281746640717,0.0848941405169932,0.12353373391153358,0.730139308105066
6626,0.071762278429122,0.1038193882031054,0.20629893500501748,0.6181193983627551
1948,0.06004119004690398,0.08128487130490905,0.11635465279003743,0.7423192858581497
6748,0.17625562497527136,0.4385168667909959,0.10527214668776165,0.27995536154597106
14,0.286248166125527,0.46532762812349365,0.0720565492602592,0.17636765649072023
1709,0.071762278429122,0.1038193882031054,0.20629893500501748,0.6181193983627551
6893,0.06488973142598803,0.14211351149184562,0.15134959142188945,0.6416471656602768
6183,0.3368286176272013,0.4273242414283409,0.07004944938877603,0.1657976915556817
4650,0.4453120054668661,0.3298339030424608,0.06468955133666351,0.16016454015400947
